,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200704,3.2963,0.1622,0.5909,-0.0896,1.7295,2.344,2.716,1.3907,0.7027,2.2933,3.3111,4.2707,4.0979,3.0926,2.6795,4.4302,3.8794,4.3948,5.7096,2.6158,5.2238,4.2563,4.0774,2.7249,3.7894
200705,2.1283,3.4562,2.5925,3.0674,3.0247,3.4947,4.0934,4.2033,2.2375,3.4518,6.9736,4.8122,5.2463,4.6949,3.6806,4.465,3.3343,4.5675,4.9002,2.5166,2.5377,4.1679,3.8155,3.611,3.5278
200706,0.3633,-0.3006,-0.8538,-0.6991,0.2736,-1.2341,-1.8372,-1.2807,-2.5458,-2.0011,-0.8375,0.1041,-0.5589,-1.8532,-2.7162,-0.6118,-2.2069,-3.1537,-2.809,-1.7342,-1.5498,-0.7285,-2.0571,-3.0381,-1.8229
200707,-5.5975,-6.5019,-6.4098,-6.9452,-7.8203,-4.6437,-5.9474,-5.5368,-6.963,-9.8031,-3.2916,-3.2661,-5.1492,-5.806,-7.3618,-2.6251,-4.5913,-6.032,-5.0467,-7.2121,-1.2188,-1.405,-4.715,-4.6366,-5.2413
200708,0.7623,1.3744,1.1162,0.8545,-3.1344,2.3967,2.5988,2.5007,3.6143,-1.1828,-0.4597,2.7837,0.3295,0.3612,-3.5791,1.4947,0.3505,-1.6717,-1.0251,-1.0762,1.9601,2.3426,1.6309,1.7076,-0.1523
200709,2.2829,2.2766,0.3121,0.9576,-1.097,2.94,0.9083,0.6646,0.9417,-0.5142,3.0378,3.3406,2.015,1.5809,1.58,3.3927,2.6005,1.7487,2.279,0.6396,5.0431,3.7582,2.8873,2.6409,4.4804
200710,3.4852,1.112,0.1733,-0.0127,-0.8925,3.7098,4.5253,0.989,1.7845,-0.2041,3.9871,1.9605,4.0716,1.1692,3.704,2.6626,2.1857,2.0081,2.4903,-1.8995,4.6093,1.6123,0.7893,0.6987,-0.5628
200711,-9.6197,-8.7258,-7.7843,-7.9072,-8.9932,-6.7296,-6.8583,-6.2399,-6.7711,-8.7329,-6.9732,-6.2578,-5.974,-5.1001,-5.1978,-4.1946,-4.6086,-7.1922,-5.7423,-6.554,-3.6069,-2.4054,-5.3348,-5.1371,-6.0518
200712,-1.1275,0.8463,-1.6916,-0.5166,-0.985,0.8934,0.1051,0.133,0.7679,-1.0452,-1.8061,-0.754,-0.5918,-0.9184,-0.3976,-0.1665,0.1015,-3.2584,-1.3379,-2.1901,-0.9332,0.2585,-1.1497,-1.1739,0.6763
200801,-11.1803,-8.4833,-7.1662,-4.7066,-4.712,-9.6106,-6.9041,-7.3816,-3.248,-3.8018,-5.7016,-5.9239,-6.5992,-3.1294,-6.5636,-7.3124,-7.3315,-4.6186,-4.166,-2.8791,-8.4432,-4.7714,-4.7946,-3.9521,-3.9083
200802,-5.6552,-4.1367,-5.1607,-2.3163,-3.9669,-5.0288,-1.1666,-1.1255,-3.3135,-4.6822,-3.6216,-1.0869,-2.0098,-1.557,-2.9325,-0.8004,-1.1975,-2.2055,-2.578,-5.3418,-2.5291,-1.743,-3.9592,-5.0204,-6.0852
200803,-4.0468,-1.1956,2.2978,0.0984,-0.3007,-0.7307,1.8299,1.9118,1.537,0.589,-3.1754,1.2746,-2.4258,-1.0562,-0.7938,0.2,-2.3197,-2.413,-3.0465,-1.2178,0.1748,1.4466,-4.2801,-3.1885,0.6513
