date,mom_01,mom_02,mom_03,mom_04,mom_05,mom_06,mom_07,mom_08,mom_09,mom_10
2016-10-06,-2.3,-0.61,-0.26,0.21,0.05,-0.13,0.03,0.1,0.09,-0.01
2016-10-07,-1.08,-0.72,-0.24,-0.2,-0.35,-0.48,-0.45,-0.25,-0.33,-0.38
2016-10-10,1.1,0.63,0.13,1.04,0.46,0.18,0.53,0.56,0.67,0.78
2016-10-11,-2.2,-1.66,-1.29,-0.97,-1.31,-1.1,-1.37,-1.27,-1.55,-1.62
2016-10-12,-0.89,-0.54,-0.3,0.1,0.11,0.12,0.07,0.3,0.14,0.16
2016-10-13,-0.91,-0.4,-0.42,-0.71,-0.49,-0.53,-0.34,-0.22,-0.16,-0.48
2016-10-14,-1.02,-0.49,-0.28,0.32,0.02,0.23,-0.11,0.18,-0.09,-0.12
2016-10-17,-1.01,-0.76,-0.6,-0.4,-0.33,-0.2,-0.05,-0.07,-0.33,-0.41
2016-10-18,1.06,0.71,0.82,1.31,0.46,0.43,0.85,0.08,0.62,0.68
2016-10-19,1.08,0.9,0.57,0.45,0.17,0.36,-0.34,0.05,0.46,0.21
2016-10-20,0.45,0.11,0.53,-0.08,-0.21,-0.16,-0.52,-0.39,-0.01,-0.34
2016-10-21,0.33,0.08,0,0.06,0.05,0.64,-0.25,-0.67,0.07,-0.46
2016-10-24,-0.14,0.41,0.27,0.58,0.41,0.77,0.51,0.42,0.74,0.71
2016-10-25,-0.7,-0.62,-0.23,-0.41,-0.48,-0.27,-0.31,-0.58,-0.68,-0.8
2016-10-26,-1.07,0.45,0.27,-0.47,-0.02,-0.3,-0.23,-0.2,-0.79,-1.43
2016-10-27,-1.3,0.35,-0.21,-0.36,-0.21,-0.38,-0.39,-0.32,-0.54,-1.2
2016-10-28,-0.32,-0.67,-0.92,-0.41,0.14,-0.58,-0.06,0.17,-0.64,0.08
2016-10-31,-1.28,-0.47,0.01,-0.14,-0.37,0.01,0.32,0.43,0.42,0.3
2016-11-01,-0.01,-0.39,-0.56,-1.12,-0.63,-0.47,-0.79,-0.7,-0.83,-0.66
2016-11-02,-1.71,-0.97,-0.57,-0.73,-0.55,-0.89,-0.39,-0.6,-1.02,-1.09
2016-11-03,-2.13,-0.6,-0.62,-0.48,-0.39,-0.25,-0.17,-0.69,-0.1,-0.26
2016-11-04,1.46,0,0.43,-0.36,-0.12,-0.23,-0.13,-0.14,-0.32,0.02
2016-11-07,2.52,2.29,2.58,2.22,2.31,2.28,1.9,1.99,2.37,2.64
2016-11-08,-0.34,0.04,-0.45,0.26,0.37,0.76,0.54,0.68,0.63,0.41
2016-11-09,5.86,2.84,3.55,1.95,1.78,0.97,0.07,0.87,0.04,1.36
2016-11-10,1.73,1.66,1.93,1.74,-0.12,0.37,-0.41,-0.67,-0.6,-1.13
2016-11-11,-0.1,0.36,0.36,0.28,0.21,0.26,-0.34,-0.25,-0.06,1.54
2016-11-14,2.21,1.33,1.92,0.64,0.05,-0.46,-0.04,-0.53,-0.81,0.37
2016-11-15,-0.33,-0.02,0.69,0.79,0.44,1,1.06,0.91,1.58,1.48
2016-11-16,-0.82,-0.63,-0.7,-0.31,0.17,0.08,0.05,-0.33,0.11,0.62
2016-11-17,0.36,0.97,0.92,0.59,0.66,0.52,0.19,0.4,0.67,0.61
2016-11-18,-0.98,-0.25,0.04,-0.14,-0.24,-0.26,-0.19,-0.13,-0.17,0.22
2016-11-21,0.79,0.39,0.59,0.59,0.76,0.71,0.69,1.06,1.32,0.86
2016-11-22,-0.45,-0.05,0.22,0.53,0.04,0.43,-0.16,0.38,0.35,1.05
2016-11-23,0.96,0.38,0.49,0.12,0.1,0.1,0.43,-0.17,0.07,0.32
2016-11-25,-0.06,0.31,0.4,0.18,0.47,0.34,0.54,0.63,0.23,0.21
2016-11-28,-1.82,-0.94,-1.02,-1.06,-0.65,-0.56,-0.48,-0.22,-0.54,-0.72
2016-11-29,-0.5,-0.38,-0.09,0.17,0.15,0.3,0.2,-0.13,0.56,-0.18
2016-11-30,0.11,-0.33,0.65,0.36,-0.22,-0.03,-0.69,-0.67,-1,0.45
2016-12-01,-1,-0.22,0.13,0.6,-0.24,-0.12,-0.71,-0.54,-0.76,-1.82
2016-12-02,-0.28,-0.21,-0.27,-0.22,-0.03,-0.19,0.14,0.16,0.32,0.67
2016-12-05,1.35,1.06,1,0.31,0.9,0.83,0.62,0.58,0.59,1.28
2016-12-06,0.6,0.61,0.88,0.56,0.34,0.44,0.39,0.26,0.26,0.76
2016-12-07,0.18,1.13,1.29,1.13,1.41,1.47,1.02,1.46,1.36,1.05
2016-12-08,1.24,0.4,0.52,0.69,0.55,0.05,0.27,0.28,0.09,-0.25
2016-12-09,0.91,0.83,0.38,0.83,0.63,0.57,0.46,0.32,0.04,-0.91
2016-12-12,-1.25,-0.57,-0.71,-0.02,-0.16,0.34,-0.3,-0.24,-0.81,-1.27
2016-12-13,0.62,0.62,0.79,0.66,0.8,0.41,0.41,0.41,0.43,0.28
2016-12-14,-1.01,-0.81,-0.75,-0.74,-0.96,-0.76,-0.58,-0.86,-1.35,-0.73
2016-12-15,0.2,0.54,0.34,0.42,0.34,0.5,0.7,0.53,0.42,0.87
2016-12-16,0.26,0.02,0.04,0.05,-0.24,-0.53,-0.42,-0.32,-0.69,-0.59
2016-12-19,-0.12,0.18,0.11,0.24,0.37,0.31,0.07,0.17,0.18,0.41
2016-12-20,0.32,0.16,0.48,0.33,0.28,0.59,0.58,0.6,0.42,1.17
2016-12-21,-0.4,-0.14,-0.4,-0.14,-0.2,-0.24,-0.4,-0.17,0.02,-0.26
2016-12-22,-0.62,-0.45,-0.44,-0.19,-0.14,-0.33,-0.2,-0.06,-0.39,-0.41
2016-12-23,1,0.39,0.15,0.29,-0.02,0.12,0.08,0.24,0.11,0.63
2016-12-27,0.22,0.33,0.18,0.26,0.26,0.18,0.18,0.41,0.22,1.18
2016-12-28,-1.01,-0.96,-0.78,-0.8,-0.65,-0.82,-0.76,-1.01,-1.26,-1.8
2016-12-29,-0.16,0.05,-0.1,0.07,0.06,-0.21,-0.12,-0.11,-0.02,0.31
2016-12-30,-0.26,-0.54,-0.56,-0.53,-0.68,-0.3,-0.12,-0.56,-0.57,-1.49
2017-01-03,2.15,1.19,0.99,0.62,0.84,0.44,0.69,0.73,0.94,0.53
2017-01-04,1.63,1.24,0.57,0.57,0.3,0.8,0.97,0.83,0.99,1.87
2017-01-05,0.32,-0.13,0.08,-0.14,-0.33,0.03,-0.63,-0.71,-0.27,-0.85
2017-01-06,0.17,0.6,0.31,0.33,0.36,0.23,0.35,0.21,0.21,-0.33
2017-01-09,-0.03,-0.11,-0.26,0.09,-0.71,-0.48,-0.62,-0.76,-0.92,-0.22
2017-01-10,0.44,-0.02,-0.09,-0.07,0.04,0.32,0.39,0.94,0.78,0.58
2017-01-11,-1.2,0.17,0.14,0.47,0.5,0.59,0.39,0.71,0.6,0.57
2017-01-12,0.05,-0.24,-0.25,-0.17,0.1,-0.55,-0.57,-0.54,-0.88,-0.99
2017-01-13,0.51,0.07,0.21,0.04,0.34,0.39,0.5,0.56,0.39,0.48
2017-01-17,-0.12,0.39,-0.1,0.16,-0.56,-1.11,-1.58,-1.69,-1.09,-0.83
2017-01-18,0.08,0.25,0.16,0.02,0.09,0.28,0.42,0.55,0.92,0.71
2017-01-19,-0.82,-0.44,-0.51,-0.21,-0.43,-0.25,-0.34,0.08,-0.69,-0.13
2017-01-20,-0.75,0.15,0.38,0.49,0.47,0.45,0.44,0.45,0.48,0.23
2017-01-23,-0.38,-0.15,-0.25,-0.11,-0.29,-0.15,-0.87,-0.22,-0.53,-0.36
2017-01-24,0.2,0.72,0.38,0.02,1.05,1.16,1.65,1.47,1.87,2.27
2017-01-25,0.67,0.61,0.44,0.82,1.01,0.87,1.17,1.27,1.46,0.68
